image,mask,source
datasetsss/archive (3)/train/68078_sat.jpg,datasetsss/archive (3)/train/68078_mask.png,landcover_barren
datasetsss/archive (3)/train/672823_sat.jpg,datasetsss/archive (3)/train/672823_mask.png,landcover_barren
datasetsss/archive (3)/train/114577_sat.jpg,datasetsss/archive (3)/train/114577_mask.png,landcover_barren
datasetsss/archive (3)/train/413779_sat.jpg,datasetsss/archive (3)/train/413779_mask.png,landcover_barren
datasetsss/archive (3)/train/333661_sat.jpg,datasetsss/archive (3)/train/333661_mask.png,landcover_barren
datasetsss/archive (3)/train/365555_sat.jpg,datasetsss/archive (3)/train/365555_mask.png,landcover_barren
datasetsss/archive (3)/train/186739_sat.jpg,datasetsss/archive (3)/train/186739_mask.png,landcover_barren
datasetsss/archive (3)/train/185562_sat.jpg,datasetsss/archive (3)/train/185562_mask.png,landcover_barren
datasetsss/archive (3)/train/606014_sat.jpg,datasetsss/archive (3)/train/606014_mask.png,landcover_barren
datasetsss/archive (3)/train/225393_sat.jpg,datasetsss/archive (3)/train/225393_mask.png,landcover_barren
datasetsss/archive (3)/train/991758_sat.jpg,datasetsss/archive (3)/train/991758_mask.png,landcover_barren
datasetsss/archive (3)/train/499418_sat.jpg,datasetsss/archive (3)/train/499418_mask.png,landcover_forest
datasetsss/archive (3)/train/877160_sat.jpg,datasetsss/archive (3)/train/877160_mask.png,landcover_forest
datasetsss/archive (3)/train/850510_sat.jpg,datasetsss/archive (3)/train/850510_mask.png,landcover_forest
datasetsss/archive (3)/train/392711_sat.jpg,datasetsss/archive (3)/train/392711_mask.png,landcover_forest
datasetsss/archive (3)/train/935318_sat.jpg,datasetsss/archive (3)/train/935318_mask.png,landcover_forest
datasetsss/archive (3)/train/299287_sat.jpg,datasetsss/archive (3)/train/299287_mask.png,landcover_forest
datasetsss/archive (3)/train/296279_sat.jpg,datasetsss/archive (3)/train/296279_mask.png,landcover_forest
datasetsss/archive (3)/train/277994_sat.jpg,datasetsss/archive (3)/train/277994_mask.png,landcover_forest
datasetsss/archive (3)/train/345134_sat.jpg,datasetsss/archive (3)/train/345134_mask.png,landcover_forest
datasetsss/archive (3)/train/866782_sat.jpg,datasetsss/archive (3)/train/866782_mask.png,landcover_forest
datasetsss/archive (3)/train/698628_sat.jpg,datasetsss/archive (3)/train/698628_mask.png,landcover_forest
datasetsss/archive (3)/train/533952_sat.jpg,datasetsss/archive (3)/train/533952_mask.png,landcover_forest
datasetsss/archive (3)/train/565914_sat.jpg,datasetsss/archive (3)/train/565914_mask.png,landcover_forest
datasetsss/archive (3)/train/524518_sat.jpg,datasetsss/archive (3)/train/524518_mask.png,landcover_forest
datasetsss/archive (3)/train/810368_sat.jpg,datasetsss/archive (3)/train/810368_mask.png,landcover_forest
datasetsss/archive (3)/train/825816_sat.jpg,datasetsss/archive (3)/train/825816_mask.png,landcover_forest
datasetsss/archive (3)/train/870705_sat.jpg,datasetsss/archive (3)/train/870705_mask.png,landcover_forest
datasetsss/archive (3)/train/888343_sat.jpg,datasetsss/archive (3)/train/888343_mask.png,landcover_forest
datasetsss/archive (3)/train/644103_sat.jpg,datasetsss/archive (3)/train/644103_mask.png,landcover_forest
datasetsss/archive (3)/train/126796_sat.jpg,datasetsss/archive (3)/train/126796_mask.png,landcover_forest
datasetsss/archive (3)/train/612214_sat.jpg,datasetsss/archive (3)/train/612214_mask.png,landcover_rangeland
datasetsss/archive (3)/train/857201_sat.jpg,datasetsss/archive (3)/train/857201_mask.png,landcover_rangeland
datasetsss/archive (3)/train/28935_sat.jpg,datasetsss/archive (3)/train/28935_mask.png,landcover_rangeland
datasetsss/archive (3)/train/428841_sat.jpg,datasetsss/archive (3)/train/428841_mask.png,landcover_rangeland
datasetsss/archive (3)/train/449319_sat.jpg,datasetsss/archive (3)/train/449319_mask.png,landcover_rangeland
datasetsss/archive (3)/train/482365_sat.jpg,datasetsss/archive (3)/train/482365_mask.png,landcover_rangeland
datasetsss/archive (3)/train/520614_sat.jpg,datasetsss/archive (3)/train/520614_mask.png,landcover_rangeland
datasetsss/archive (3)/train/893904_sat.jpg,datasetsss/archive (3)/train/893904_mask.png,landcover_rangeland
datasetsss/archive (3)/train/387018_sat.jpg,datasetsss/archive (3)/train/387018_mask.png,landcover_rangeland
datasetsss/archive (3)/train/172307_sat.jpg,datasetsss/archive (3)/train/172307_mask.png,landcover_rangeland
datasetsss/archive (3)/train/402002_sat.jpg,datasetsss/archive (3)/train/402002_mask.png,landcover_rangeland
datasetsss/archive (3)/train/799523_sat.jpg,datasetsss/archive (3)/train/799523_mask.png,landcover_rangeland
datasetsss/archive (3)/train/95863_sat.jpg,datasetsss/archive (3)/train/95863_mask.png,landcover_rangeland
datasetsss/archive (3)/train/182027_sat.jpg,datasetsss/archive (3)/train/182027_mask.png,landcover_rangeland
datasetsss/archive (3)/train/476991_sat.jpg,datasetsss/archive (3)/train/476991_mask.png,landcover_rangeland
datasetsss/archive (3)/train/916141_sat.jpg,datasetsss/archive (3)/train/916141_mask.png,landcover_rangeland
datasetsss/archive (3)/train/495406_sat.jpg,datasetsss/archive (3)/train/495406_mask.png,landcover_rangeland
datasetsss/archive (3)/train/998002_sat.jpg,datasetsss/archive (3)/train/998002_mask.png,landcover_rangeland
datasetsss/archive (3)/train/969934_sat.jpg,datasetsss/archive (3)/train/969934_mask.png,landcover_rangeland
datasetsss/archive (3)/train/316446_sat.jpg,datasetsss/archive (3)/train/316446_mask.png,landcover_rangeland
datasetsss/archive (3)/train/772452_sat.jpg,datasetsss/archive (3)/train/772452_mask.png,landcover_urban
datasetsss/archive (3)/train/995492_sat.jpg,datasetsss/archive (3)/train/995492_mask.png,landcover_urban
datasetsss/archive (3)/train/442329_sat.jpg,datasetsss/archive (3)/train/442329_mask.png,landcover_urban
datasetsss/archive (3)/train/384477_sat.jpg,datasetsss/archive (3)/train/384477_mask.png,landcover_urban
datasetsss/archive (3)/train/682949_sat.jpg,datasetsss/archive (3)/train/682949_mask.png,landcover_urban
datasetsss/archive (3)/train/471930_sat.jpg,datasetsss/archive (3)/train/471930_mask.png,landcover_urban
datasetsss/archive (3)/train/707319_sat.jpg,datasetsss/archive (3)/train/707319_mask.png,landcover_urban
datasetsss/archive (3)/train/405744_sat.jpg,datasetsss/archive (3)/train/405744_mask.png,landcover_urban
datasetsss/archive (3)/train/772130_sat.jpg,datasetsss/archive (3)/train/772130_mask.png,landcover_urban
datasetsss/archive (3)/train/627583_sat.jpg,datasetsss/archive (3)/train/627583_mask.png,landcover_urban
datasetsss/archive (3)/train/104113_sat.jpg,datasetsss/archive (3)/train/104113_mask.png,landcover_urban
datasetsss/archive (3)/train/926392_sat.jpg,datasetsss/archive (3)/train/926392_mask.png,landcover_urban
datasetsss/archive (3)/train/903649_sat.jpg,datasetsss/archive (3)/train/903649_mask.png,landcover_urban
datasetsss/archive (3)/train/455374_sat.jpg,datasetsss/archive (3)/train/455374_mask.png,landcover_urban
datasetsss/archive (3)/train/219670_sat.jpg,datasetsss/archive (3)/train/219670_mask.png,landcover_urban
datasetsss/archive (3)/train/557309_sat.jpg,datasetsss/archive (3)/train/557309_mask.png,landcover_urban
datasetsss/archive (3)/train/181447_sat.jpg,datasetsss/archive (3)/train/181447_mask.png,landcover_urban
datasetsss/archive (3)/train/641771_sat.jpg,datasetsss/archive (3)/train/641771_mask.png,landcover_urban
datasetsss/archive (3)/train/611015_sat.jpg,datasetsss/archive (3)/train/611015_mask.png,landcover_urban
datasetsss/archive (3)/train/115444_sat.jpg,datasetsss/archive (3)/train/115444_mask.png,landcover_urban
datasetsss/archive (3)/train/911457_sat.jpg,datasetsss/archive (3)/train/911457_mask.png,landcover_water
datasetsss/archive (3)/train/855_sat.jpg,datasetsss/archive (3)/train/855_mask.png,landcover_water
datasetsss/archive (3)/train/515521_sat.jpg,datasetsss/archive (3)/train/515521_mask.png,landcover_water
datasetsss/archive (3)/train/753408_sat.jpg,datasetsss/archive (3)/train/753408_mask.png,landcover_water
datasetsss/archive (3)/train/416381_sat.jpg,datasetsss/archive (3)/train/416381_mask.png,landcover_water
datasetsss/archive (3)/train/924236_sat.jpg,datasetsss/archive (3)/train/924236_mask.png,landcover_water
datasetsss/archive (3)/train/194156_sat.jpg,datasetsss/archive (3)/train/194156_mask.png,landcover_water
datasetsss/archive (3)/train/343016_sat.jpg,datasetsss/archive (3)/train/343016_mask.png,landcover_water
datasetsss/archive (3)/train/794214_sat.jpg,datasetsss/archive (3)/train/794214_mask.png,landcover_water
datasetsss/archive (3)/train/499266_sat.jpg,datasetsss/archive (3)/train/499266_mask.png,landcover_water
datasetsss/archive (3)/train/420078_sat.jpg,datasetsss/archive (3)/train/420078_mask.png,landcover_water
datasetsss/archive (3)/train/78430_sat.jpg,datasetsss/archive (3)/train/78430_mask.png,landcover_water
datasetsss/archive (3)/train/7892_sat.jpg,datasetsss/archive (3)/train/7892_mask.png,landcover_water
datasetsss/archive (3)/train/428597_sat.jpg,datasetsss/archive (3)/train/428597_mask.png,landcover_water
datasetsss/archive (3)/train/513968_sat.jpg,datasetsss/archive (3)/train/513968_mask.png,landcover_water
datasetsss/archive (3)/train/19627_sat.jpg,datasetsss/archive (3)/train/19627_mask.png,landcover_water
